DATE,CXUBAKERYLB1105M
1984-01-01,172
1985-01-01,199
1986-01-01,199
1987-01-01,216
1988-01-01,210
1989-01-01,242
1990-01-01,252
1991-01-01,276
1992-01-01,276
1993-01-01,295
1994-01-01,264
1995-01-01,282
1996-01-01,281
1997-01-01,299
1998-01-01,286
1999-01-01,311
2000-01-01,313
2001-01-01,292
2002-01-01,304
2003-01-01,310
2004-01-01,314
2005-01-01,307
2006-01-01,337
2007-01-01,323
2008-01-01,346
2009-01-01,334
2010-01-01,354
2011-01-01,348
2012-01-01,364
2013-01-01,356
2014-01-01,328
2015-01-01,365
2016-01-01,371
2017-01-01,415
2018-01-01,411
2019-01-01,408
2020-01-01,435
2021-01-01,480
2022-01-01,537
2023-01-01,589
