Week,halal: (United States)
10/13/2019,53
10/20/2019,47
10/27/2019,47
11/3/2019,50
11/10/2019,46
11/17/2019,49
11/24/2019,54
12/1/2019,41
12/8/2019,45
12/15/2019,48
12/22/2019,70
12/29/2019,58
1/5/2020,47
1/12/2020,47
1/19/2020,49
1/26/2020,46
2/2/2020,43
2/9/2020,46
2/16/2020,49
2/23/2020,44
3/1/2020,42
3/8/2020,42
3/15/2020,35
3/22/2020,30
3/29/2020,31
4/5/2020,35
4/12/2020,37
4/19/2020,39
4/26/2020,39
5/3/2020,39
5/10/2020,42
5/17/2020,43
5/24/2020,43
5/31/2020,41
6/7/2020,45
6/14/2020,46
6/21/2020,46
6/28/2020,49
7/5/2020,45
7/12/2020,47
7/19/2020,46
7/26/2020,51
8/2/2020,52
8/9/2020,48
8/16/2020,48
8/23/2020,46
8/30/2020,47
9/6/2020,47
9/13/2020,44
9/20/2020,44
9/27/2020,43
10/4/2020,48
10/11/2020,50
10/18/2020,48
10/25/2020,45
11/1/2020,38
11/8/2020,45
11/15/2020,52
11/22/2020,53
11/29/2020,43
12/6/2020,47
12/13/2020,47
12/20/2020,60
12/27/2020,55
1/3/2021,47
1/10/2021,50
1/17/2021,49
1/24/2021,51
1/31/2021,47
2/7/2021,46
2/14/2021,51
2/21/2021,49
2/28/2021,51
3/7/2021,50
3/14/2021,50
3/21/2021,57
3/28/2021,60
4/4/2021,57
4/11/2021,58
4/18/2021,54
4/25/2021,55
5/2/2021,55
5/9/2021,63
5/16/2021,62
5/23/2021,61
5/30/2021,61
6/6/2021,60
6/13/2021,63
6/20/2021,61
6/27/2021,64
7/4/2021,68
7/11/2021,67
7/18/2021,66
7/25/2021,67
8/1/2021,64
8/8/2021,62
8/15/2021,69
8/22/2021,68
8/29/2021,65
9/5/2021,70
9/12/2021,63
9/19/2021,64
9/26/2021,64
10/3/2021,62
10/10/2021,65
10/17/2021,62
10/24/2021,61
10/31/2021,63
11/7/2021,65
11/14/2021,67
11/21/2021,73
11/28/2021,54
12/5/2021,60
12/12/2021,64
12/19/2021,74
12/26/2021,72
1/2/2022,57
1/9/2022,56
1/16/2022,53
1/23/2022,56
1/30/2022,56
2/6/2022,59
2/13/2022,65
2/20/2022,61
2/27/2022,63
3/6/2022,65
3/13/2022,68
3/20/2022,64
3/27/2022,68
4/3/2022,65
4/10/2022,64
4/17/2022,64
4/24/2022,66
5/1/2022,68
5/8/2022,63
5/15/2022,65
5/22/2022,68
5/29/2022,69
6/5/2022,64
6/12/2022,70
6/19/2022,67
6/26/2022,71
7/3/2022,74
7/10/2022,72
7/17/2022,70
7/24/2022,70
7/31/2022,71
8/7/2022,72
8/14/2022,74
8/21/2022,71
8/28/2022,69
9/4/2022,68
9/11/2022,65
9/18/2022,68
9/25/2022,63
10/2/2022,68
10/9/2022,68
10/16/2022,67
10/23/2022,64
10/30/2022,68
11/6/2022,64
11/13/2022,68
11/20/2022,87
11/27/2022,59
12/4/2022,67
12/11/2022,71
12/18/2022,76
12/25/2022,89
1/1/2023,74
1/8/2023,69
1/15/2023,69
1/22/2023,71
1/29/2023,72
2/5/2023,69
2/12/2023,71
2/19/2023,71
2/26/2023,70
3/5/2023,75
3/12/2023,74
3/19/2023,78
3/26/2023,75
4/2/2023,77
4/9/2023,73
4/16/2023,77
4/23/2023,72
4/30/2023,75
5/7/2023,76
5/14/2023,77
5/21/2023,76
5/28/2023,84
6/4/2023,77
6/11/2023,79
6/18/2023,82
6/25/2023,85
7/2/2023,92
7/9/2023,80
7/16/2023,82
7/23/2023,89
7/30/2023,78
8/6/2023,82
8/13/2023,80
8/20/2023,80
8/27/2023,78
9/3/2023,80
9/10/2023,73
9/17/2023,79
9/24/2023,76
10/1/2023,74
10/8/2023,75
10/15/2023,75
10/22/2023,76
10/29/2023,77
11/5/2023,76
11/12/2023,79
11/19/2023,90
11/26/2023,70
12/3/2023,75
12/10/2023,79
12/17/2023,86
12/24/2023,100
12/31/2023,84
1/7/2024,76
1/14/2024,67
1/21/2024,74
1/28/2024,76
2/4/2024,75
2/11/2024,75
2/18/2024,78
2/25/2024,78
3/3/2024,72
3/10/2024,85
3/17/2024,84
3/24/2024,85
3/31/2024,82
4/7/2024,85
4/14/2024,85
4/21/2024,83
4/28/2024,80
5/5/2024,83
5/12/2024,83
5/19/2024,89
5/26/2024,86
6/2/2024,83
6/9/2024,86
6/16/2024,85
6/23/2024,84
6/30/2024,96
7/7/2024,87
7/14/2024,83
7/21/2024,86
7/28/2024,86
8/4/2024,83
8/11/2024,88
8/18/2024,89
8/25/2024,85
9/1/2024,87
9/8/2024,79
9/15/2024,82
9/22/2024,79
9/29/2024,81
10/6/2024,82
10/13/2024,83
