Week,vegatarian: (United States)
10/13/2019,65
10/20/2019,85
10/27/2019,90
11/3/2019,76
11/10/2019,92
11/17/2019,94
11/24/2019,99
12/1/2019,70
12/8/2019,63
12/15/2019,70
12/22/2019,95
12/29/2019,87
1/5/2020,87
1/12/2020,92
1/19/2020,100
1/26/2020,62
2/2/2020,88
2/9/2020,78
2/16/2020,80
2/23/2020,83
3/1/2020,73
3/8/2020,67
3/15/2020,48
3/22/2020,42
3/29/2020,58
4/5/2020,59
4/12/2020,61
4/19/2020,55
4/26/2020,69
5/3/2020,74
5/10/2020,61
5/17/2020,63
5/24/2020,64
5/31/2020,48
6/7/2020,71
6/14/2020,58
6/21/2020,51
6/28/2020,54
7/5/2020,61
7/12/2020,64
7/19/2020,65
7/26/2020,54
8/2/2020,71
8/9/2020,71
8/16/2020,62
8/23/2020,68
8/30/2020,70
9/6/2020,62
9/13/2020,62
9/20/2020,65
9/27/2020,64
10/4/2020,54
10/11/2020,59
10/18/2020,64
10/25/2020,70
11/1/2020,53
11/8/2020,53
11/15/2020,63
11/22/2020,73
11/29/2020,67
12/6/2020,45
12/13/2020,57
12/20/2020,69
12/27/2020,73
1/3/2021,76
1/10/2021,69
1/17/2021,63
1/24/2021,75
1/31/2021,53
2/7/2021,57
2/14/2021,64
2/21/2021,55
2/28/2021,66
3/7/2021,60
3/14/2021,53
3/21/2021,54
3/28/2021,54
4/4/2021,69
4/11/2021,58
4/18/2021,65
4/25/2021,57
5/2/2021,51
5/9/2021,68
5/16/2021,64
5/23/2021,70
5/30/2021,63
6/6/2021,59
6/13/2021,52
6/20/2021,53
6/27/2021,65
7/4/2021,58
7/11/2021,50
7/18/2021,66
7/25/2021,60
8/1/2021,55
8/8/2021,58
8/15/2021,52
8/22/2021,64
8/29/2021,56
9/5/2021,61
9/12/2021,63
9/19/2021,59
9/26/2021,52
10/3/2021,58
10/10/2021,56
10/17/2021,67
10/24/2021,62
10/31/2021,65
11/7/2021,60
11/14/2021,77
11/21/2021,64
11/28/2021,63
12/5/2021,58
12/12/2021,59
12/19/2021,57
12/26/2021,74
1/2/2022,94
1/9/2022,79
1/16/2022,70
1/23/2022,68
1/30/2022,77
2/6/2022,69
2/13/2022,63
2/20/2022,82
2/27/2022,61
3/6/2022,57
3/13/2022,48
3/20/2022,62
3/27/2022,58
4/3/2022,72
4/10/2022,77
4/17/2022,66
4/24/2022,67
5/1/2022,65
5/8/2022,57
5/15/2022,53
5/22/2022,69
5/29/2022,67
6/5/2022,59
6/12/2022,58
6/19/2022,62
6/26/2022,58
7/3/2022,66
7/10/2022,49
7/17/2022,47
7/24/2022,49
7/31/2022,57
8/7/2022,66
8/14/2022,49
8/21/2022,73
8/28/2022,45
9/4/2022,63
9/11/2022,61
9/18/2022,60
9/25/2022,50
10/2/2022,62
10/9/2022,60
10/16/2022,51
10/23/2022,73
10/30/2022,50
11/6/2022,57
11/13/2022,61
11/20/2022,59
11/27/2022,68
12/4/2022,58
12/11/2022,69
12/18/2022,72
12/25/2022,66
1/1/2023,75
1/8/2023,75
1/15/2023,66
1/22/2023,61
1/29/2023,66
2/5/2023,72
2/12/2023,61
2/19/2023,60
2/26/2023,70
3/5/2023,69
3/12/2023,58
3/19/2023,58
3/26/2023,66
4/2/2023,58
4/9/2023,56
4/16/2023,62
4/23/2023,56
4/30/2023,59
5/7/2023,60
5/14/2023,56
5/21/2023,56
5/28/2023,59
6/4/2023,58
6/11/2023,49
6/18/2023,63
6/25/2023,65
7/2/2023,67
7/9/2023,52
7/16/2023,53
7/23/2023,58
7/30/2023,61
8/6/2023,69
8/13/2023,50
8/20/2023,65
8/27/2023,60
9/3/2023,64
9/10/2023,64
9/17/2023,55
9/24/2023,61
10/1/2023,55
10/8/2023,55
10/15/2023,61
10/22/2023,63
10/29/2023,65
11/5/2023,66
11/12/2023,64
11/19/2023,62
11/26/2023,53
12/3/2023,45
12/10/2023,54
12/17/2023,73
12/24/2023,70
12/31/2023,82
1/7/2024,78
1/14/2024,76
1/21/2024,66
1/28/2024,59
2/4/2024,86
2/11/2024,68
2/18/2024,75
2/25/2024,70
3/3/2024,69
3/10/2024,75
3/17/2024,55
3/24/2024,70
3/31/2024,47
4/7/2024,54
4/14/2024,56
4/21/2024,43
4/28/2024,58
5/5/2024,61
5/12/2024,52
5/19/2024,54
5/26/2024,42
6/2/2024,72
6/9/2024,67
6/16/2024,43
6/23/2024,45
6/30/2024,48
7/7/2024,45
7/14/2024,55
7/21/2024,52
7/28/2024,52
8/4/2024,46
8/11/2024,51
8/18/2024,56
8/25/2024,42
9/1/2024,54
9/8/2024,48
9/15/2024,63
9/22/2024,59
9/29/2024,61
10/6/2024,56
10/13/2024,55
